orden|jerarquia|nivel|funcional
"033"|"SERVIDOR PUBLICO"|"8OL1B"|"Director de Área"
"034"|"SERVIDOR PUBLICO"|"50OOO"|"Director de Finanzas"
"035"|"SERVIDOR PUBLICO"|"9BKIZ"|"Director de Informacion y Planeacion"
"036"|"SERVIDOR PUBLICO"|"WS006"|"Director de Supervision y Control"
"037"|"SERVIDOR PUBLICO"|"UNOWL"|"Director Escolar"
"038"|"SERVIDOR PUBLICO"|"SHWZM"|"Director Escolar Pre Primaria"
"039"|"SERVIDOR PUBLICO"|"54JF3"|"Director General"
"040"|"SERVIDOR PUBLICO"|"RG2EY"|"Director General de Administración"
"041"|"SERVIDOR PUBLICO"|"CXA1N"|"Directora de Área"
"042"|"SERVIDOR PUBLICO"|"TNDCQ"|"Directora General"
"043"|"SERVIDOR PUBLICO"|"C5J8I"|"Elaboración de Contrato-Pedido"
"044"|"SERVIDOR PUBLICO"|"RP4NM"|"Elaboración y Trámite de Contratos"
"045"|"SERVIDOR PUBLICO"|"XMLUS"|"Elaboración y Trámite de Fallos de Adjudicación y Contratos"
"046"|"SERVIDOR PUBLICO"|"JD0BS"|"En Suplencia de la Subdirrecion de Eduación Especial"
"047"|"SERVIDOR PUBLICO"|"YAXZR"|"Encargada de la Subdireccion"
"048"|"SERVIDOR PUBLICO"|"CMN2H"|"Encargada del Área Administrativa"
"049"|"SERVIDOR PUBLICO"|"AP8GS"|"Encargada del Área de Comunicacion Social"
"050"|"SERVIDOR PUBLICO"|"753VP"|"Encargada del Área de Vinculacion"
"051"|"SERVIDOR PUBLICO"|"FOH5C"|"Encargado Área de Carpinteria"
"052"|"SERVIDOR PUBLICO"|"ACLDF"|"Encargado Área de Eventos y Reparación de Equipos de Oficina"
"053"|"SERVIDOR PUBLICO"|"YOLGG"|"Encargado Área de Impresión"
"054"|"SERVIDOR PUBLICO"|"35493"|"Encargado de Compras Solidarias"
"055"|"SERVIDOR PUBLICO"|"M7V3I"|"Encargado del Área de Adecuaciones"
"056"|"SERVIDOR PUBLICO"|"DMIF6"|"Encargado del Área de Gestión y Seguimiento"
"057"|"SERVIDOR PUBLICO"|"V1HY2"|"Encargado del Área de Giras"
"058"|"SERVIDOR PUBLICO"|"ZIFR0"|"Encargado del Área de Mantenimiento Vehicular"
"059"|"SERVIDOR PUBLICO"|"N8UT0"|"Encargado del Despacho del Área de Mobiliario escolar"
"060"|"SERVIDOR PUBLICO"|"WAUJQ"|"Estudio de Mercado y Cotizador"
"061"|"SERVIDOR PUBLICO"|"KGG71"|"Hora clase 'B'"
"062"|"SERVIDOR PUBLICO"|"QILKK"|"Horas clase 'A'"
"063"|"SERVIDOR PUBLICO"|"4T7I9"|"Ingeniero Biomédico"
"064"|"SERVIDOR PUBLICO"|"2D9P7"|"Investigador Educativo"
"065"|"SERVIDOR PUBLICO"|"0J8R8"|"Jefa,e de Unidad de Apoyo Administrativo"
"066"|"SERVIDOR PUBLICO"|"5L55N"|"Jefatura de Departamento"
"067"|"SERVIDOR PUBLICO"|"PHCSR"|"Jefe de Área"
"068"|"SERVIDOR PUBLICO"|"S4FW2"|"Jefe de Área (Bienes Patrimoniales)"
"069"|"SERVIDOR PUBLICO"|"JCYN9"|"Jefe de Departamento"
"070"|"SERVIDOR PUBLICO"|"HXUXU"|"Jefe de Departamento de Programas Compensatorios"
"071"|"SERVIDOR PUBLICO"|"23TEN"|"Jefe De La Unidad de Apoyo Administratio"
"072"|"SERVIDOR PUBLICO"|"K2IXB"|"Jefe de la Unidad de Desarrollo Administrativo e Informatica"
"073"|"SERVIDOR PUBLICO"|"LUZ6U"|"Jefe de la unidad Jurídico Consultiva y Vocal del Comité de Adquisiciones y Servicios"
"074"|"SERVIDOR PUBLICO"|"8ID28"|"Jefe de Unidad"
"075"|"SERVIDOR PUBLICO"|"QJWKR"|"Jefe del Departamento"
"076"|"SERVIDOR PUBLICO"|"BPFS7"|"Jefe del Departamento de Adquisiciones"
"077"|"SERVIDOR PUBLICO"|"Q02S7"|"Jefe del Departamento de Apoyo a Comites"
"078"|"SERVIDOR PUBLICO"|"A7EUB"|"Jefe del Departamento de Concursos, Contratos y Estimaciones"
"079"|"SERVIDOR PUBLICO"|"D0V6C"|"Jefe del Departamento de Contratos y Seguimiento de Pedidos"
"080"|"SERVIDOR PUBLICO"|"8S6UB"|"Lider 'A' de Proyecto"
"081"|"SERVIDOR PUBLICO"|"PQZFR"|"Miembro Ex Oficio"
"082"|"SERVIDOR PUBLICO"|"G2O7I"|"Orientador Técnico (responsable de siniestro de vehiculos"
"083"|"SERVIDOR PUBLICO"|"4UR43"|"Pedagogo 'A'"
"084"|"SERVIDOR PUBLICO"|"IJWUT"|"Profesor Estudiante"
"085"|"SERVIDOR PUBLICO"|"E66XU"|"Profesor Pasante"
"086"|"SERVIDOR PUBLICO"|"KCYOL"|"Profesor Telesecundaria Pasante"
"087"|"SERVIDOR PUBLICO"|"GB2G5"|"Profesor Telesecundaria Titulado"
"088"|"SERVIDOR PUBLICO"|"S6LXN"|"Profesor Titulado"
"089"|"SERVIDOR PUBLICO"|"V1I2V"|"Profesor Titulado (responsable de siniestros de vehículos)"
"090"|"SERVIDOR PUBLICO"|"4KU1O"|"Promotor de Educacion Ambiental y Salud"
"091"|"SERVIDOR PUBLICO"|"RS3VW"|"Residente de Obra"
"092"|"SERVIDOR PUBLICO"|"OS9OH"|"Residente Regional"
"093"|"SERVIDOR PUBLICO"|"W09EL"|"Responsable Administrativo"
"094"|"SERVIDOR PUBLICO"|"B9M6V"|"Responsable de Área de Dictaminacion"
"095"|"SERVIDOR PUBLICO"|"348ZE"|"Responsable de Automatizacion de Procesos y Gobierno Electronico"
"096"|"SERVIDOR PUBLICO"|"IY6QW"|"Responsable de Bienes Inmuebles"
"097"|"SERVIDOR PUBLICO"|"L3TGP"|"Responsable del Área"
"098"|"SERVIDOR PUBLICO"|"WGM6W"|"Responsable del Área de Energia Electrica"
"099"|"SERVIDOR PUBLICO"|"2WP48"|"Responsable del Área de Eventos"
"100"|"SERVIDOR PUBLICO"|"YGIC6"|"Responsable del Área de Fotocopiado, Limpieza y Vigilancia"
"101"|"SERVIDOR PUBLICO"|"9EYEO"|"Responsable del Área de Mantenimiento y Adecuaciones de Inmuebles"
"102"|"SERVIDOR PUBLICO"|"F3PIQ"|"Responsable del Área de Personal"
"103"|"SERVIDOR PUBLICO"|"J5YKO"|"Responsable del Área de Reparacion y Mantenimiento Vehicular"
"104"|"SERVIDOR PUBLICO"|"6M6VH"|"Responsable del Área de Telefonia, Fumigaciones Estacionamiento y Correspondencia"
"105"|"SERVIDOR PUBLICO"|"I0NVO"|"Responsable del Área Secretarial"
"106"|"SERVIDOR PUBLICO"|"S1AXD"|"Secretaria 'E'"
"107"|"SERVIDOR PUBLICO"|"PKWQS"|"Secretaria 'E' Administrativo"
"108"|"SERVIDOR PUBLICO"|"4S5DF"|"Secretaria Particular"
"109"|"SERVIDOR PUBLICO"|"4X8G3"|"Secretario Ejecutivo"
"110"|"SERVIDOR PUBLICO"|"AZC09"|"Secretario Particular"
"111"|"SERVIDOR PUBLICO"|"681ZF"|"Soporte Administrativo"
"112"|"SERVIDOR PUBLICO"|"A048Q"|"Soporte Administrativo 'A'"
"113"|"SERVIDOR PUBLICO"|"OTVFV"|"Soporte Administrativo 'C'"
"114"|"SERVIDOR PUBLICO"|"NEWF1"|"Soporte Administrativo 'D'"
"115"|"SERVIDOR PUBLICO"|"KE8LA"|"Soporte dministrativo 'B'  "
"116"|"SERVIDOR PUBLICO"|"B7KH5"|"Subdirección de Infraestructura en Salud"
"117"|"SERVIDOR PUBLICO"|"G575X"|"Subdirector"
"118"|"SERVIDOR PUBLICO"|"BM03X"|"Subdirector Academico"
"119"|"SERVIDOR PUBLICO"|"KAQN9"|"Subdirector Administrativo"
"120"|"SERVIDOR PUBLICO"|"O6GQZ"|"Subdirector de Área"
"121"|"SERVIDOR PUBLICO"|"YGP85"|"Subdirector de Construccion"
"122"|"SERVIDOR PUBLICO"|"I14OY"|"Subdirector de Control de la Infraestructura"
"123"|"SERVIDOR PUBLICO"|"UY8BU"|"Subdirector de Educacion Especial"
"124"|"SERVIDOR PUBLICO"|"9KLML"|"Subdirector de la Subdirección de Recursos Materiales"
"125"|"SERVIDOR PUBLICO"|"US8U2"|"Subdirector de Producción Editorial"
"126"|"SERVIDOR PUBLICO"|"D6A4L"|"Subdirector de Recursos Materiales"
"127"|"SERVIDOR PUBLICO"|"M50H5"|"Subdirector de Servicios Generales y Control Patrimonial"
"128"|"SERVIDOR PUBLICO"|"RTNG8"|"Subdirector Juridico"
"129"|"SERVIDOR PUBLICO"|"PT8KM"|"Subdirectora"
"130"|"SERVIDOR PUBLICO"|"DJWRY"|"Subdirectora de Difusion y Distribucion"
"131"|"SERVIDOR PUBLICO"|"HD1MR"|"Subdirectora de Escuelas Incorporadas"
"132"|"SERVIDOR PUBLICO"|"Y0L76"|"Supervisor de Obra"
"133"|"SERVIDOR PUBLICO"|"4PJF6"|"Supervisor Escolar"
"134"|"SERVIDOR PUBLICO"|"7W63Q"|"Suplente de la Subdireccion de Telesecundarias"
"135"|"SERVIDOR PUBLICO"|"O4D4P"|"Vocal Suplente de la Unidad Jurídico Consultiva"
