orden|jerarquia|nivel|funcional
"027"|"DIRECTIVOS"|"7"|"DIRECTOR COORDINACION'F'ADMINISTRATIVO"
"028"|"MANDOS MEDIOS"|"8"|"SECRETARIO 'A' ESCUELA O FACULTAD"
"029"|"MANDOS MEDIOS"|"8"|"SECRETARIO 'B' ESCUELA O FACULTAD"
"030"|"MANDOS MEDIOS"|"8"|"SECRETARIO 'C' ESCUELA O FACULTAD"
"031"|"MANDOS MEDIOS"|"8"|"SECRETARIO 'D' ESCUALA O FACULTAD"
"032"|"MANDOS MEDIOS"|"8"|"SECRETARIO 'E' ESCUELA O FACULTAD"
"033"|"MANDOS MEDIOS"|"8"|"SECRETARIO 'F' ESCUELA O FACULTAD"
"034"|"MANDOS MEDIOS"|"9"|"SUBDIRECTOR ADMINISTRATIVO 'A' ESCUELA O FACULTAD"
"035"|"MANDOS MEDIOS"|"9"|"SUBDIRECTOR ADMINISTRATIVO 'B' ESCUELA O FACULTAD"
"036"|"MANDOS MEDIOS"|"9"|"SUBDIRECTOR ADMINISTRATIVO 'C' ESCUELA O FACULTAD"
"037"|"MANDOS MEDIOS"|"9"|"SUBDIRECTOR ADMINISTRATIVO 'D' ESCUELA O FACULTAD"
"038"|"MANDOS MEDIOS"|"9"|"SUBDIRECTOR ADMINISTRATIVO 'E' ESCUELA O FACULTAD"
"039"|"MANDOS MEDIOS"|"9"|"SUBDIRECTOR ADMINISTRATIVO 'F' ESCUELA O FACULTAD"
"040"|"DIRECTIVOS"|"10"|"SECRETARIO PARTICULAR DE SECRETARÍA DE ADMINISTRACIÓN CENTRAL  'A'"
"041"|"DIRECTIVOS"|"10"|"SECRETARIO PARTICULAR DE SECRETARÍA DE ADMINISTRACIÓN CENTRAL 'B'"
"042"|"DIRECTIVOS"|"10"|"SECRETARIO PARTICULAR DE SECRETARÍA DE ADMINISTRACIÓN CENTRAL 'C'"
"043"|"DIRECTIVOS"|"10"|"SECRETARIO PARTICULAR DE SECRETARÍA DE ADMINISTRACIÓN CENTRAL 'D'"
"044"|"MANDOS MEDIOS"|"11"|"JEFE DEPARTAMENTO 'A' ADMINISTRATIVO"
"045"|"MANDOS MEDIOS"|"11"|"JEFE DEPARTAMENTO 'B' ADMINSITRATIVO"
"046"|"MANDOS MEDIOS"|"11"|"JEFE DEPARTAMENTO 'C' ADMINISTRATIVO"
"047"|"MANDOS MEDIOS"|"11"|"JEFE DEPARTAMENTO 'D' ADMINISTRATIVO"
"048"|"MANDOS MEDIOS"|"11"|"JEFE DEPARTAMENTO 'E' ADMINISTRATIVO"
"049"|"MANDOS MEDIOS"|"11"|"JEFE DEPARTAMENTO 'F' ADMINISTRATIVO"
"050"|"OPERATIVO DE CONFIANZA"|"12"|"JEFE DEPARTAMENTO EXTENSION"
"051"|"OPERATIVO DE CONFIANZA"|"12"|"JEFE DEPARTAMENTO ORIENTACION VOCACIONAL"
"052"|"OPERATIVO DE CONFIANZA"|"12"|"JEFE DEPARTAMENTO SERVICIO SOCIAL"
"053"|"OPERATIVO DE CONFIANZA"|"12"|"JEFE DEPARTAMENTO PLANEACION"
"054"|"OPERATIVO DE CONFIANZA"|"12"|"JEFE DE PLANEACIÓN Y APOYO ADMINISTRATIVO DE SECRETARÍA"
"055"|"MANDOS MEDIOS"|"13"|"ASISTENTE DE LA OFICINA DEL RECTOR"
"056"|"OPERATIVO SINDICALIZADO"|"14"|"OPERADOR DE TRANSPORTE DE LA OFICINA DEL RECTOR"
"057"|"DIRECTIVOS"|"15"|"ASESOR ADMINISTRATIVO CENTRAL"
"058"|"OPERATIVO DE CONFIANZA"|"16"|"ASISTENTE DE SECRETARIA 'A'"
"059"|"OPERATIVO SINDICALIZADO"|"17"|"OPERADOR DE TRANSPORTE DE SECRETARÍA"
"060"|"OPERATIVO DE CONFIANZA"|"18"|"SECRETARIA DE LA OFICINA DEL RECTOR"
"061"|"OPERATIVO DE CONFIANZA"|"20"|"COORDINADOR ACADEMICO 'A'"
"062"|"OPERATIVO DE CONFIANZA"|"20"|"COORDINADOR ACADEMICO 'B'"
"063"|"OPERATIVO DE CONFIANZA"|"20"|"COORDINADOR ACADEMICO 'C'"
"064"|"OPERATIVO DE CONFIANZA"|"20"|"COORDINADOR ACADEMICO 'D'"
"065"|"OPERATIVO DE CONFIANZA"|"20"|"COORDINADOR ACADEMICO 'E'"
"066"|"OPERATIVO DE CONFIANZA"|"20"|"COORDINADOR ACADEMICO 'F'"
"067"|"OPERATIVO DE CONFIANZA"|"21"|"JEFE DIVISION 'A'"
"068"|"OPERATIVO DE CONFIANZA"|"21"|"JEFE DIVISION 'B'"
"069"|"OPERATIVO DE CONFIANZA"|"21"|"JEFE DIVISION 'C'"
"070"|"OPERATIVO DE CONFIANZA"|"21"|"JEFE DIVISION 'D'"
"071"|"OPERATIVO DE CONFIANZA"|"21"|"JEFE DIVISION 'E'"
"072"|"OPERATIVO DE CONFIANZA"|"21"|"JEFE DIVISION 'F'"
"073"|"OPERATIVO DE CONFIANZA"|"22"|"ASISTENTE 'A'"
"074"|"OPERATIVO DE CONFIANZA"|"22"|"ASISTENTE 'B'"
"075"|"OPERATIVO DE CONFIANZA"|"22"|"ASISTENTE 'C'"
"076"|"OPERATIVO DE CONFIANZA"|"22"|"ASISTENTE 'D'"
"077"|"OPERATIVO DE CONFIANZA"|"22"|"ASISTENTE 'E'"
"078"|"OPERATIVO DE CONFIANZA"|"22"|"ASISTENTE 'F'"
"079"|"OPERATIVO DE CONFIANZA"|"24"|"AUXILIAR JURIDICO"
"080"|"OPERATIVO DE CONFIANZA"|"24"|"CONTADOR"
"081"|"OPERATIVO DE CONFIANZA"|"24"|"AUDITOR"
"082"|"OPERATIVO DE CONFIANZA"|"25"|"PEDIATRA"
"083"|"OPERATIVO DE CONFIANZA"|"26"|"SUPERVISOR"
"084"|"OPERATIVO DE CONFIANZA"|"27"|"PSICOLOGO"
"085"|"OPERATIVO DE CONFIANZA"|"27"|"ODONTOLOGO"
"086"|"OPERATIVO DE CONFIANZA"|"28"|"ASESOR USUARIO DE COMPUTADORA"
"087"|"OPERATIVO DE CONFIANZA"|"29"|"AUXILIAR ORIENTACION VOCACIONAL"
"088"|"OPERATIVO DE CONFIANZA"|"30"|"AUXILIAR DE COORDINACION"
"089"|"OPERATIVO DE CONFIANZA"|"31"|"PROYECTISTA"
"090"|"OPERATIVO SINDICALIZADO"|"32"|"MEDICO"
"091"|"OPERATIVO SINDICALIZADO"|"33"|"REPORTERO"
"092"|"OPERATIVO SINDICALIZADO"|"34"|"GUIONISTA"
"093"|"OPERATIVO SINDICALIZADO"|"35"|"PROFESIONISTA"
"094"|"OPERATIVO SINDICALIZADO"|"36"|"OPERADOR DE COMPUTADORA"
"095"|"OPERATIVO SINDICALIZADO"|"37"|"GUIONISTA  DE REDACCION"
"096"|"OPERATIVO SINDICALIZADO"|"38"|"COORDINADOR EQUIPOS"
"097"|"OPERATIVO SINDICALIZADO"|"39"|"ANALISTA SISTEMAS"
"098"|"OPERATIVO SINDICALIZADO"|"40"|"JEFE SECCION"
"099"|"OPERATIVO SINDICALIZADO"|"41"|"CLASIFICADOR CATALOGO"
"100"|"OPERATIVO SINDICALIZADO"|"42"|"DISEÑADOR"
"101"|"OPERATIVO SINDICALIZADO"|"43"|"DIBUJANTE"
"102"|"OPERATIVO SINDICALIZADO"|"43"|"DIBUJANTE MEDIO TIEMPO"
"103"|"OPERATIVO SINDICALIZADO"|"44"|"ANALISTA"
"104"|"OPERATIVO SINDICALIZADO"|"45"|"LABORATORISTA"
"105"|"OPERATIVO SINDICALIZADO"|"46"|"PROGRAMADOR"
"106"|"OPERATIVO SINDICALIZADO"|"47"|"TECNICO"
"107"|"OPERATIVO SINDICALIZADO"|"48"|"AUXILIAR DE CONTADOR"
"108"|"OPERATIVO SINDICALIZADO"|"49"|"AUXILIAR PROCESOS TECNICOS"
"109"|"OPERATIVO SINDICALIZADO"|"50"|"COTIZADOR"
"110"|"OPERATIVO SINDICALIZADO"|"51"|"TELEFONISTA"
"111"|"OPERATIVO SINDICALIZADO"|"52"|"PRENSISTA"
"112"|"OPERATIVO SINDICALIZADO"|"53"|"BIBLIOTECARIO"
"113"|"OPERATIVO SINDICALIZADO"|"54"|"CAPTURISTA"
"114"|"OPERATIVO SINDICALIZADO"|"54"|"TECNICO AUDIOVISUAL"
"115"|"OPERATIVO SINDICALIZADO"|"55"|"OPERADOR OFFSET"
"116"|"OPERATIVO SINDICALIZADO"|"57"|"OPERADOR TRACTOR"
"117"|"OPERATIVO SINDICALIZADO"|"57"|"OPERADOR TRANSPORTE"
"118"|"OPERATIVO SINDICALIZADO"|"58"|"ARCHIVISTA 'A'"
"119"|"OPERATIVO SINDICALIZADO"|"58"|"ARCHIVISTA 'B'"
"120"|"OPERATIVO SINDICALIZADO"|"58"|"AUXILIAR 'A'"
"121"|"OPERATIVO SINDICALIZADO"|"58"|"AUXILIAR 'B'"
"122"|"OPERATIVO"|"59"|"AUXILIAR ACADEMICO"
"123"|"OPERATIVO SINDICALIZADO"|"59"|"AUXILIAR ADMINISTRATIVO"
"124"|"OPERATIVO SINDICALIZADO"|"59"|"SECRETARIA"
"125"|"OPERATIVO SINDICALIZADO"|"60"|"TRABAJADOR SOCIAL"
"126"|"OPERATIVO SINDICALIZADO"|"61"|"ENFERMERA(O)"
"127"|"OPERATIVO SINDICALIZADO"|"62"|"OFICIAL ADMINISTRATIVO"
"128"|"OPERATIVO SINDICALIZADO"|"63"|"CAJERO"
"129"|"OPERATIVO SINDICALIZADO"|"64"|"MENSAJERO"
"130"|"OPERATIVO SINDICALIZADO"|"65"|"JARDINERO"
"131"|"OPERATIVO SINDICALIZADO"|"65"|"TRABAJADOR CAMPO"
"132"|"OPERATIVO SINDICALIZADO"|"65"|"VELADOR"
"133"|"OPERATIVO SINDICALIZADO"|"65"|"OFICIAL INTENDENCIA"
"134"|"OPERATIVO SINDICALIZADO"|"65"|"ENCARGADO MANTENIMIENTO"
"135"|"OPERATIVO SINDICALIZADO"|"65"|"ENCARGADO MANTENIMIENTO MEDIO TIEMPO"
"136"|"OPERATIVO SINDICALIZADO"|"66"|"AYUDANTE TECNICO"
"137"|"OPERATIVO SINDICALIZADO"|"67"|"MIMEOGRAFISTA"
"138"|"OPERATIVO SINDICALIZADO"|"68"|"AFANADOR(A)"
"139"|"OPERATIVO SINDICALIZADO"|"56 A"|"ALMACENISTA'A'"
"140"|"OPERATIVO SINDICALIZADO"|"56 A"|"ALMACENISTA'B'"
"141"|"OPERATIVO SINDICALIZADO"|"56 B"|"MECANICO"
"142"|"OPERATIVO SINDICALIZADO"|"58"|"AUXILIAR MEDIO TIEMPO"
"143"|"OPERATIVO SINDICALIZADO"|"59"|"SECRETARIA MEDIO TIEMPO"
"144"|"OPERATIVO SINDICALIZADO"|"65"|"ELECTRICISTA"
"145"|"OPERATIVO SINDICALIZADO"|"60"|"EDUCADORA"
"146"|"OPERATIVO SINDICALIZADO"|"53"|"MAPOTECARIO"
"147"|"OPERATIVO DE CONFIANZA"|"12"|"JEFE CONTROL ESCOLAR"
"148"|"OPERATIVO DE CONFIANZA"|"20"|"COORDINADOR ACADEMICO POR HORAS"
"149"|"MANDOS MEDIOS"|"22"|"SUBJEFE DEPARTAMENTO ADMINISTRATIVO C"
"150"|"OPERATIVO"|"24"|"AUXILIAR DE INVESTIGADOR 'A'"
"151"|"OPERATIVO"|"24"|"AUXILIAR DE INVESTIGADOR 'B'"
"152"|"PROF ASIGNATURA"|"NA"|"DIFUSION CULTURAL HORAS ASIGNATURA"
"153"|"PROF ASIGNATURA"|"NA"|"H-S-M LICENCIATURA 'A'"
"154"|"PROF ASIGNATURA"|"NA"|"H-S-M LICENCIATURA 'B'"
"155"|"PROF ASIGNATURA"|"NA"|"H-S-M PREPARATORIA 'A'"
"156"|"PROF ASIGNATURA"|"NA"|"H-S-M PREPARATORIA 'B'"
"157"|"PROF ASIGNATURA"|"NA"|"PROFESOR DE ASIGNATURA DE POSGRADO HORAS EFECTIVAS"
"158"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL MEDIO TIEMPO 'A'"
"159"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL MEDIO TIEMPO 'B'"
"160"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL MEDIO TIEMPO 'C'"
"161"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL MEDIO TIEMPO 'D'"
"162"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL MEDIO TIEMPO 'E'"
"163"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL MEDIO TIEMPO 'F'"
"164"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL TIEMPO COMPLETO 'A'"
"165"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL TIEMPO COMPLETO 'B'"
"166"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL TIEMPO COMPLETO 'C'"
"167"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL TIEMPO COMPLETO 'D'"
"168"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL TIEMPO COMPLETO 'E'"
"169"|"DOCENTES DE CARRERA"|"NA"|"DIFUSION CULTURAL TIEMPO COMPLETO 'F'"
"170"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR MEDIO TIEMPO 'A'"
"171"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR MEDIO TIEMPO 'B'"
"172"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR MEDIO TIEMPO 'C'"
"173"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR MEDIO TIEMPO 'D'"
"174"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR MEDIO TIEMPO 'E'"
"175"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR MEDIO TIEMPO 'F'"
"176"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR TIEMPO COMPLETO 'A'"
"177"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR TIEMPO COMPLETO 'B'"
"178"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR TIEMPO COMPLETO 'C'"
"179"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR TIEMPO COMPLETO 'D'"
"180"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR TIEMPO COMPLETO 'E'"
"181"|"DOCENTES DE CARRERA"|"NA"|"INVESTIGADOR TIEMPO COMPLETO 'F'"
"182"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR MEDIO TIEMPO 'A'"
"183"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR MEDIO TIEMPO 'B'"
"184"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR MEDIO TIEMPO 'C'"
"185"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR MEDIO TIEMPO 'D'"
"186"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR MEDIO TIEMPO 'E'"
"187"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR MEDIO TIEMPO 'F'"
"188"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR TIEMPO COMPLETO 'A'"
"189"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR TIEMPO COMPLETO 'B'"
"190"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR TIEMPO COMPLETO 'C'"
"191"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR TIEMPO COMPLETO 'D'"
"192"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR TIEMPO COMPLETO 'E'"
"193"|"DOCENTES DE CARRERA"|"NA"|"PROFESOR TIEMPO COMPLETO 'F'"
"194"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO MEDIO TIEMPO 'A'"
"195"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO MEDIO TIEMPO 'B'"
"196"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO MEDIO TIEMPO 'C'"
"197"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO MEDIO TIEMPO 'D'"
"198"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO MEDIO TIEMPO 'E'"
"199"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO MEDIO TIEMPO 'F'"
"200"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO TIEMPO COMPLETO 'A'"
"201"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO TIEMPO COMPLETO 'B'"
"202"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO TIEMPO COMPLETO 'C'"
"203"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO TIEMPO COMPLETO 'D'"
"204"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO TIEMPO COMPLETO 'E'"
"205"|"DOCENTES DE CARRERA"|"NA"|"TECNICO ACADEMICO TIEMPO COMPLETO 'F'"
"206"|"OPERATIVO"|"NA"|"SUELDOS COMPLEMENTARIOS"
"207"|"OPERATIVO"|"NA"|"SUELDOS COMPLEMENTARIOS HORAS"
